;;;;;"Rang";"Couleur";"Rang"
1;;;30;"S. Bathildis, monialis";;;12
2;;;3;"S. Anschaire";;;10
2;;;9;"S. Ansbert";;;10
3;;;1;"Sts moines de Fontenelle";"Festum";"Blanc";3
3;;;26;"S. Herbland";;;7
4;;;14;"S. Lambert";"Memoria";"Blanc";10
4;;;26;"S. Paschasii Radberti, abbatis";;;12
5;;;13;"S. Servais";;;12
5;;;15;"S. Pacôme";;;
5;;;24;"S. Gond";;;12
6;;;1;"S. Vulfran";"Memoria";;10
6;;;7;"S. Iustini, martyris";"Memoria";"Rouge";10
6;;;16;"Dédicace de ND de Caillouville";;;
6;;;25;"S. Saturnin";;;
7;;;9;"Beatae Mariae Virginis, Matris Providentiae";"Memoria";"Blanc";10
7;;;22;"S. Wandrille";"Sollemnitas";"Blanc";1
7;;;24;"S. Maria Magdalena";"Memoria";"Blanc";10
7;;;28;"B. Urbani II, papae";;;12
7;;;29;"SS. Martha, Maria et Lazari";;;12
8;;;7;"S. Sixte II";"Memoria";"Blanc";10
8;;;13;"S. Radegundis, monialis";;;12
8;;;17;"S. Louis-François Lebrun et ses compagnons";;;
8;;;18;"SS. Philibert et Achard";;;
8;;;23;"S. Bartholomaei, apostoli";"Festum";"Rouge";7
8;;;24;"S. Ludovici";"Festum";"Blanc";7
8;;;25;"S. Ouen";;;
8;;;26;"S. Monicae";"Memoria";"Blanc";10
8;;;27;"S. Augustini, episcopi et Ecclesiae doctoris";"Memoria";"Blanc";10
8;;;28;"In Passione S. Ioannis Baptistae, martyris";"Memoria";"Rouge";10
8;;;29;;;;
9;;;2;"Bb. Ambrosii Chevreux, Renati Iliani Massey et Ludovici Barreau de La Touche, presbytorum O.N. Martyrum";"Memoria";"Rouge";10
9;;;9;"Omer";;;
9;;;12;"Dédicace de l'église abbatiale";"Sollemnitas";"Blanc";1
9;;;17;"Hildegarde";;;
9;;;22;"Maurice et compagnons";;;
9;;;23;"S. Pio de Pietrelcina";;;
10;;;1;"Dédicace de la cathédrale de Rouen";;;
10;;;5;"S. Léger";;;
10;;;6;"S. Bruno";;;
10;;;16;"Dédicace du Mont-Saint-Michel";;;12
10;;;23;"S. Romain";;;12
11;;;7;"S. Willibrord";;;
11;;;12;"S. Théodore Studite";;;
11;;;23;"S. Clementis I, papae et martyris";"Memoria";"Rouge";10
11;;;24;"S. Columbani, abbatis";"Memoria";"Blanc";10
11;;;26;"S. Silvestre";"Memoria";"Blanc";10
12;;;8;"In Conceptione Immaculata B. Mariae Virginis, patronae Congregationis Solesmensis.";"Sollemnitas";"Blanc";4
